Replicate,Sample Mean
Replicate_1,1.815389457692849
Replicate_2,1.5637019489409838
Replicate_3,1.8406937016563867
Replicate_4,1.923659511343169
Replicate_5,1.9362679649313186
Replicate_6,1.78296009611337
Replicate_7,1.7091105882450284
Replicate_8,1.6257281519113664
Replicate_9,1.707582131612398
Replicate_10,1.4631914697942179
Replicate_11,2.2288173593318734
Replicate_12,2.073396328053592
Replicate_13,1.8668211393569334
Replicate_14,1.6485058635380139
Replicate_15,1.7090669828752942
Replicate_16,1.8894067333198314
Replicate_17,1.4985754953757076
Replicate_18,2.0538485374852486
Replicate_19,1.8595110064125728
Replicate_20,1.6542810162478923
Replicate_21,1.9310548015690623
Replicate_22,1.4902206364010808
Replicate_23,1.7015916069197312
Replicate_24,1.5696085902657932
Replicate_25,2.0596121180823737
Replicate_26,1.7105040724450644
Replicate_27,1.9639509422671741
Replicate_28,1.6391429312643186
Replicate_29,1.9291468072314881
Replicate_30,1.65400482742611
Replicate_31,1.5668711084660985
Replicate_32,2.0324603647743253
Replicate_33,1.6231325884042627
Replicate_34,1.7518505438741059
Replicate_35,1.9012463903221133
Replicate_36,1.7450455309760518
Replicate_37,1.9217968355968054
Replicate_38,1.7161749548386214
Replicate_39,1.7639149373959564
Replicate_40,2.1611639174374
Replicate_41,1.8483028999407112
Replicate_42,1.5836000127535204
Replicate_43,1.7482532368636674
Replicate_44,1.7126621628949334
Replicate_45,1.6992922752339994
Replicate_46,1.7268218419986427
Replicate_47,1.6575416423028617
Replicate_48,1.6398114426604742
Replicate_49,1.6753251001212002
Replicate_50,2.041348515940085
Replicate_51,1.7062909129474297
Replicate_52,1.641101203799587
Replicate_53,1.6230881589494504
Replicate_54,1.955212827411871
Replicate_55,1.6435997529015203
Replicate_56,1.6566325880521464
Replicate_57,1.6984886411484492
Replicate_58,1.9087965618272156
Replicate_59,1.7013280727071014
Replicate_60,1.8896126704860379
Replicate_61,1.683328042078435
Replicate_62,1.861135291395505
Replicate_63,1.6374120193396504
Replicate_64,1.659047834435228
Replicate_65,1.7396393396536205
