Replicate,Sample Mean
Replicate_1,0.7534772520698607
Replicate_2,0.7514024445600808
Replicate_3,0.7522509760782122
Replicate_4,0.7526076111011207
Replicate_5,0.7500781243480742
Replicate_6,0.7500191971473396
Replicate_7,0.7494469611719251
Replicate_8,0.7500964516960085
Replicate_9,0.7501707304827869
Replicate_10,0.7503117742948234
Replicate_11,0.750339507330209
Replicate_12,0.7525011821836233
Replicate_13,0.7541789240948856
Replicate_14,0.7500097749195993
Replicate_15,0.7521882629208266
Replicate_16,0.750002498049289
Replicate_17,0.747808226775378
Replicate_18,0.7524987014755606
Replicate_19,0.7512061603181064
Replicate_20,0.7512487762607634
Replicate_21,0.7498583522439003
Replicate_22,0.7499999995343387
Replicate_23,0.7499609083123505
Replicate_24,0.7499978251568973
Replicate_25,0.7509740473888814
Replicate_26,0.7500385077111423
Replicate_27,0.7490576727502049
Replicate_28,0.7500026368163526
Replicate_29,0.7481299179792404
Replicate_30,0.7499939008615911
Replicate_31,0.751988224554807
Replicate_32,0.749997483175248
Replicate_33,0.7493796250037849
Replicate_34,0.7526263493672013
Replicate_35,0.7465284435264766
Replicate_36,0.7518451115489007
Replicate_37,0.7516613858751953
Replicate_38,0.7518969701044261
Replicate_39,0.7475726409070194
Replicate_40,0.7503130118362605
Replicate_41,0.7512396250478923
Replicate_42,0.7507988406531513
Replicate_43,0.7498434446565807
Replicate_44,0.749476316422224
Replicate_45,0.750295406319201
Replicate_46,0.750038975905627
Replicate_47,0.7512451165728271
Replicate_48,0.7487617517635227
Replicate_49,0.749414061959833
Replicate_50,0.7492997732572257
Replicate_51,0.7497216822206973
Replicate_52,0.7501439829729497
Replicate_53,0.7497062890045345
Replicate_54,0.7521532819233835
Replicate_55,0.747510070707649
Replicate_56,0.7493639349937439
Replicate_57,0.749990242216736
Replicate_58,0.7500732417218388
Replicate_59,0.7462542731314897
Replicate_60,0.7498633188940584
Replicate_61,0.7492407105863095
Replicate_62,0.7507812486588955
Replicate_63,0.7501001164130866
Replicate_64,0.7537111986801028
Replicate_65,0.7500219754315913
Replicate_66,0.7498351570777595
Replicate_67,0.7499559206329286
Replicate_68,0.7474511715210974
Replicate_69,0.7476577747799457
Replicate_70,0.7466401417180896
Replicate_71,0.7499955744855106
Replicate_72,0.7487113823741675
Replicate_73,0.7525771893188358
Replicate_74,0.7523440651409328
Replicate_75,0.7507347682677209
Replicate_76,0.7499923820607364
Replicate_77,0.7498645014874638
Replicate_78,0.7469520420394837
Replicate_79,0.7525634570606052
Replicate_80,0.7495317828655242
Replicate_81,0.7513087189570069
Replicate_82,0.7531249268166721
Replicate_83,0.7500436743162573
Replicate_84,0.7509765185043216
Replicate_85,0.7501979054324329
Replicate_86,0.7498634879104793
Replicate_87,0.7496971125714481
Replicate_88,0.7509787733852863
Replicate_89,0.7499854227341711
Replicate_90,0.7489841450192034
Replicate_91,0.7497350281663239
Replicate_92,0.7502145953290165
Replicate_93,0.751095580291003
Replicate_94,0.7500437022000551
Replicate_95,0.7524869338795542
Replicate_96,0.7501173220388592
Replicate_97,0.7465622351877391
