Replicate_1,Replicate_2,Replicate_3,Replicate_4,Replicate_5,Replicate_6,Replicate_7,Replicate_8,Replicate_9,Replicate_10
1.2764195312414843,7.449614910651676,1.2477553447295808,4.742372890441376,1.290546017493005,2.1318597789602993,1.7016592489091236,1.0308367941349443,1.726500179408222,1.1187272863379272
1.253592711701265,2.1389148521304597,1.0416147358177616,1.3170327748601849,1.0040106013808074,1.6052492423832383,1.2379475403433735,3.273467369193915,1.1457263891590181,1.496881437605145
1.0825161345160321,1.0395872307857736,1.4895959003428398,1.2329806913170536,2.0910462692562684,1.0081248912161542,1.7104562301539472,1.588806869853245,4.32375522502319,1.2272164720651695
1.207508702066434,1.2417759023905075,1.915751534333455,2.2724417148358738,1.1355357354587725,1.0921748580813269,1.4272170555388886,5.52215329560537,1.5814880906862911,1.3152041079196917
1.3180366621978763,1.12238852753874,1.300670500715106,2.2182494097367025,1.3722141086813824,1.6192967154160791,1.0087352121859183,1.5719596396482507,1.12908807263139,1.0290488776357758
1.2220727381294427,4.51770389038516,2.2616480057626362,1.6112147576574638,2.0227979310904907,1.173590684165855,1.4466237289328754,2.205373572941948,3.450742991587665,1.2605656228791147
1.16868726856737,1.918267152803329,1.04561846910346,1.2622401272739967,1.6534390998338373,1.245857041114689,1.1824975844059968,1.610063476444351,2.8727459696585473,1.7296021442615745
1.3043777787784767,1.425054801006095,1.6674801515071265,5.43092666054326,3.31736524883357,1.1215138122121666,2.0890019165434004,5.200393542035591,1.2631041616677925,3.2177285747674556
1.280664761539567,2.3287541736294077,2.0352398091818316,1.8386948231448876,1.43373726693735,3.1336117288718492,2.272066986900572,1.0693818625324862,1.6661446330015868,1.1660564148822157
1.7016725110807582,2.486923114946957,2.735887882016965,1.8948310169024003,2.7234390524165404,2.5817779491961987,1.2981033669469222,1.7958076526437365,1.874663591496295,1.4047911628745577
1.6662103508620527,1.2467500262008204,1.2689190098865564,1.868427827284478,5.46592030038227,1.1510203244798234,1.9727937357703196,1.286112465524033,1.0388602030057457,1.8671929853807463
4.3219875146008615,1.0271732276415109,1.698920905781766,4.7622951345829225,1.1618921545431709,1.6784357418473819,1.6095931623656812,1.5371234503569877,1.0136739449677539,1.0246283032716563
1.0321545946070252,2.821496893213664,1.1773972035724318,3.558073164734716,5.115250481314395,1.0670584479942602,1.406679593556581,2.331320950560558,1.7243252179930095,3.427457853446656
1.4453736383752438,1.418646796929829,1.255606013331214,4.66861626846743,1.1779605647456255,1.2540474648184161,1.1930624866099317,1.0886610861686716,1.0167326152162426,1.9881769502356066
2.21529880011682,1.0012466464908751,1.0851560595653054,1.2001648605288802,1.8311823762920925,1.4750608379265575,1.9371572338725906,4.771540816296572,1.7736810194722654,1.0057926748292454
1.0125551304536058,1.0137301276419786,4.210127026352225,1.7874823018144383,1.8905136815825814,1.9082598351047728,2.7258184946388235,1.1632909340937796,1.2709846759358223,1.1886635718880338
1.051562119128902,1.7242376404945061,1.9125696011973299,1.7401618460510577,1.082693110527477,3.3200812578600862,1.167162301819246,2.6246734028272884,1.96884835318951,1.4338087922096872
2.145879474895472,4.005735631905044,2.1796693256586948,1.256730232772115,1.0276978469522111,1.064931680836797,1.2002955589547708,1.08057013591667,1.0443882789021597,1.250645366627345
4.048159471019386,1.5443155623195435,1.5047201821841636,1.6411507243104828,2.705520832121148,1.0852032248431132,1.68396622308506,1.267056363420342,1.2783501495883949,1.564847260782126
1.255572972021998,1.3920176876005075,1.4022147113568508,3.0431119502737527,1.5570960768686202,1.5525920442326682,1.1011525993511915,1.7384374692800166,1.351562350315296,1.2285497106330425
